title,title_en,audience,open_date,genre,watch_grade,score,poster_url,description
말모이,MAL·MO·E: The Secret Mission,2224910,20190109,드라마,12세이상관람가,9.04,https://movie-phinf.pstatic.net/20181227_80/1545901137289EGbWK_JPEG/movie_image.jpg,"까막눈 판수, 우리말에 눈뜨다! vs 조선어학회 대표 정환, '우리'의 소중함에 눈뜨다! 1940년대 우리말이 점점 사라져가고 있는 경성. 얼마 남지 않은 시간, 바짝 조여오는 일제의 감시를 피해 '말모이'를 끝내야 하는데... 우리말이 금지된 시대, 말과 마음이 모여 사전이 되다."
내안의 그놈,The Dude in Me,1597263,20190109,판타지,15세이상관람가,8.69,https://movie-phinf.pstatic.net/20190111_8/1547187739117rx7uW_JPEG/movie_image.jpg,"나 너니? 너 나니?? 제대로 바뀐 아재와 고딩, 웃음 대환장 파티! 엘리트 아재 판수(박성웅)를 우연히 옥상에서 떨어진 고등학생 동현(진영)이 덮치면서 제대로 바뀐다.?게다가 판수는 동현의 몸으로 첫사랑 미선(라미란)과 존재도 몰랐던 딸 현정(이수민)을 만나게 되는데...?대유잼의 향연, 넌 이미 웃고 있다!"
글래스,Glass,339707,20190117,드라마,15세이상관람가,7.69,https://movie-phinf.pstatic.net/20181227_126/1545900402100CiQHx_JPEG/movie_image.jpg,"24개의 인격ㆍ강철 같은 신체ㆍ천재적 두뇌 통제불가한 24번째 인격 비스트를 깨운 케빈, 강철 같은 신체 능력을 지닌 의문의 남자 던, 천재적 두뇌를 지닌 미스터리한 설계자 미스터 글래스, 마침내 그들이 한 자리에 모이게 되고 이들의 존재가 세상에 드러나면서 예상치 못한 일이 벌어지는데..."
주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet,1606967,20190103,애니메이션,전체관람가,8.76,https://movie-phinf.pstatic.net/20181204_287/1543888062606NHMh7_JPEG/movie_image.jpg,"오락실 게임 세상에 이어 이번엔 인터넷 세상이 발칵 뒤집힌다?! 지금껏 경험한 적 없는 엄청난 스케일과 새로운 재미에 흠뻑 빠진 '랄프'와 '바넬로피'는 랜섬웨어급 사고로 인터넷 세상을 혼란에 빠뜨리는데... 과연, 이들은 무사히 집에 돌아갈 수 있을까?"
언더독,Underdog,122479,20190116,애니메이션,전체관람가,9.49,https://movie-phinf.pstatic.net/20181224_250/1545613244716iYHTg_JPEG/movie_image.jpg,"견생역전을 꿈꾸는 댕댕이들의 위대한 모험이 시작된다! 하루아침에 운명이 바뀐 강아지 '뭉치'는 우연히 만난 거리 생활의 고참 '짱아' 일당을 만나 목숨을 구하게 된다. 차츰 ‘짱아’ 무리의 스트릿 라이프에 적응하던 찰나 그들의 소중한 아지트가 사라질 위기에 처하고, 마침내 그들은 진정한 자유를 찾기 위한 모험을 떠나기로 결심하는데..."
아쿠아맨,AQUAMAN,5019236,20181219,액션,12세이상관람가,8.39,https://movie-phinf.pstatic.net/20181210_126/1544403103928nczJs_JPEG/movie_image.jpg,"땅의 아들이자 바다의 왕, 심해의 수호자인 슈퍼히어로 아쿠아맨의 탄생을 그린 액션 블록버스터"
